From	To	Species	Gene Name
ENSMMUG00000009264	ZNF215	Macaca mulatta	zinc finger protein 215(ZNF215)
ENSMMUG00000009981	LOC717842	Macaca mulatta	protein misato homolog 1-like(LOC717842)
ENSMMUG00000004664	IMPACT	Macaca mulatta	impact RWD domain protein(IMPACT)
ENSMMUG00000020740	ATP6V1A	Macaca mulatta	ATPase H+ transporting V1 subunit A(ATP6V1A)
ENSMMUG00000019679	ATG5	Macaca mulatta	autophagy related 5(ATG5)
ENSMMUG00000030508	LOC709249	Macaca mulatta	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5(LOC709249)
ENSMMUG00000029338	LOC702514	Macaca mulatta	40S ribosomal protein S4, X isoform-like(LOC702514)
ENSMMUG00000015583	NAP1L1	Macaca mulatta	nucleosome assembly protein 1 like 1(NAP1L1)
ENSMMUG00000016443	LOC701246	Macaca mulatta	cytochrome c-like(LOC701246)
ENSMMUG00000015330	CCDC50	Macaca mulatta	coiled-coil domain containing 50(CCDC50)
ENSMMUG00000030587	LOC720452	Macaca mulatta	putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8(LOC720452)
ENSMMUG00000021614	LSM14A	Macaca mulatta	LSM14A, mRNA processing body assembly factor(LSM14A)
ENSMMUG00000015334	GSTO1	Macaca mulatta	glutathione S-transferase omega 1(GSTO1)
ENSMMUG00000010828	LOC710726	Macaca mulatta	40S ribosomal protein S2 pseudogene(LOC710726)
ENSMMUG00000001645	EEF1D	Macaca mulatta	eukaryotic translation elongation factor 1 delta(EEF1D)
ENSMMUG00000020948	TMEM19	Macaca mulatta	transmembrane protein 19(TMEM19)
ENSMMUG00000001647	LOC722545	Macaca mulatta	60S ribosomal protein L17 pseudogene(LOC722545)
ENSMMUG00000023759	LOC695495	Macaca mulatta	RAB1A, member RAS oncogene family pseudogene(LOC695495)
ENSMMUG00000022376	ZWINT	Macaca mulatta	ZW10 interacting kinetochore protein(ZWINT)
ENSMMUG00000002786	MBP-A	Macaca mulatta	mannose-binding protein A(MBP-A)
ENSMMUG00000019405	DCAF13	Macaca mulatta	DDB1 and CUL4 associated factor 13(DCAF13)
ENSMMUG00000011354	PHF5A	Macaca mulatta	PHD finger protein 5A(PHF5A)
ENSMMUG00000017590	ARL14EP	Macaca mulatta	ADP ribosylation factor like GTPase 14 effector protein(ARL14EP)
ENSMMUG00000009280	COIL	Macaca mulatta	coilin(COIL)
ENSMMUG00000022104	C19H19orf24	Macaca mulatta	chromosome 19 C19orf24 homolog(C19H19orf24)
ENSMMUG00000021600	BMP6	Macaca mulatta	bone morphogenetic protein 6(BMP6)
ENSMMUG00000017586	RAB13	Macaca mulatta	RAB13, member RAS oncogene family(RAB13)
ENSMMUG00000004682	ZNF593	Macaca mulatta	zinc finger protein 593(ZNF593)
ENSMMUG00000022101	CIRBP	Macaca mulatta	cold inducible RNA binding protein(CIRBP)
ENSMMUG00000007151	LOC700256	Macaca mulatta	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic-like(LOC700256)
ENSMMUG00000010846	ARL4A	Macaca mulatta	ADP ribosylation factor like GTPase 4A(ARL4A)
ENSMMUG00000021801	VAMP2	Macaca mulatta	vesicle associated membrane protein 2(VAMP2)
ENSMMUG00000021828	RPL27A	Macaca mulatta	ribosomal protein L27a(RPL27A)
ENSMMUG00000021273	LOC698075	Macaca mulatta	ATP synthase subunit g, mitochondrial(LOC698075)
ENSMMUG00000001270	GIMAP1-GIMAP5	Macaca mulatta	GIMAP1-GIMAP5 readthrough(GIMAP1-GIMAP5)
ENSMMUG00000014460	ORC2	Macaca mulatta	origin recognition complex subunit 2(ORC2)
ENSMMUG00000000671	IDS	Macaca mulatta	iduronate 2-sulfatase(IDS)
ENSMMUG00000011336	COPS9	Macaca mulatta	COP9 signalosome subunit 9(COPS9)
ENSMMUG00000020108	INO80C	Macaca mulatta	INO80 complex subunit C(INO80C)
ENSMMUG00000020386	POLR1D	Macaca mulatta	RNA polymerase I subunit D(POLR1D)
ENSMMUG00000000535	AMD1	Macaca mulatta	adenosylmethionine decarboxylase 1(AMD1)
ENSMMUG00000016603	LOC707834	Macaca mulatta	60S ribosomal protein L19 pseudogene(LOC707834)
ENSMMUG00000030761	LOC702606	Macaca mulatta	40S ribosomal protein S13 pseudogene(LOC702606)
ENSMMUG00000006714	CLPX	Macaca mulatta	caseinolytic mitochondrial matrix peptidase chaperone subunit(CLPX)
ENSMMUG00000014862	LOC698530	Macaca mulatta	60S ribosomal protein L10a pseudogene(LOC698530)
ENSMMUG00000019432	LOC706216	Macaca mulatta	zinc finger X-linked protein ZXDB(LOC706216)
ENSMMUG00000021815	SMIM15	Macaca mulatta	small integral membrane protein 15(SMIM15)
ENSMMUG00000002513	CCDC59	Macaca mulatta	coiled-coil domain containing 59(CCDC59)
ENSMMUG00000006718	EMC10	Macaca mulatta	ER membrane protein complex subunit 10(EMC10)
ENSMMUG00000008173	KDM6B	Macaca mulatta	lysine demethylase 6B(KDM6B)
ENSMMUG00000010456	LOC718378	Macaca mulatta	folate receptor gamma-like(LOC718378)
ENSMMUG00000001677	TPRN	Macaca mulatta	taperin(TPRN)
ENSMMUG00000016403	ANKRD26	Macaca mulatta	ankyrin repeat domain 26(ANKRD26)
ENSMMUG00000006514	DEXI	Macaca mulatta	Dexi homolog(DEXI)
ENSMMUG00000009948	HDAC1	Macaca mulatta	histone deacetylase 1(HDAC1)
ENSMMUG00000017463	LOC697676	Macaca mulatta	nucleophosmin pseudogene(LOC697676)
ENSMMUG00000030062	LOC696112	Macaca mulatta	protein NEF1 pseudogene(LOC696112)
ENSMMUG00000017461	PNO1	Macaca mulatta	partner of NOB1 homolog(PNO1)
ENSMMUG00000010058	ATRIP	Macaca mulatta	ATR interacting protein(ATRIP)
ENSMMUG00000011523	TAF5	Macaca mulatta	TATA-box binding protein associated factor 5(TAF5)
ENSMMUG00000008378	MLKL	Macaca mulatta	mixed lineage kinase domain like(MLKL)
ENSMMUG00000011929	HNRNPA0	Macaca mulatta	heterogeneous nuclear ribonucleoprotein A0(HNRNPA0)
ENSMMUG00000010050	SNRPB	Macaca mulatta	small nuclear ribonucleoprotein polypeptides B and B1(SNRPB)
ENSMMUG00000007970	CCZ1	Macaca mulatta	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated(CCZ1)
ENSMMUG00000010253	BRCC3	Macaca mulatta	BRCA1/BRCA2-containing complex subunit 3(BRCC3)
ENSMMUG00000031310	LOC698945	Macaca mulatta	glutamate formimidoyltransferase(LOC698945)
ENSMMUG00000017077	LOC701714	Macaca mulatta	zinc finger protein 37A(LOC701714)
ENSMMUG00000030823	COX7C	Macaca mulatta	cytochrome c oxidase subunit VIIc(COX7C)
ENSMMUG00000031580	LOC710026	Macaca mulatta	10 kDa heat shock protein, mitochondrial pseudogene(LOC710026)
ENSMMUG00000001062	EIF4B	Macaca mulatta	eukaryotic translation initiation factor 4B(EIF4B)
ENSMMUG00000030827	LOC717763	Macaca mulatta	sodium/potassium-transporting ATPase subunit beta-3 pseudogene(LOC717763)
ENSMMUG00000006818	LOC695847	Macaca mulatta	chromobox protein homolog 3-like(LOC695847)
ENSMMUG00000008810	ARL8B	Macaca mulatta	ADP ribosylation factor like GTPase 8B(ARL8B)
ENSMMUG00000017466	CALM2	Macaca mulatta	calmodulin 2(CALM2)
ENSMMUG00000023575	KIAA1551	Macaca mulatta	KIAA1551 ortholog(KIAA1551)
ENSMMUG00000018317	KLRC3	Macaca mulatta	killer cell lectin-like receptor subfamily C, member 3(KLRC3)
ENSMMUG00000017614	CBLL1	Macaca mulatta	Cbl proto-oncogene like 1(CBLL1)
ENSMMUG00000007961	SNRPG	Macaca mulatta	small nuclear ribonucleoprotein polypeptide G(SNRPG)
ENSMMUG00000021233	SEPHS1	Macaca mulatta	selenophosphate synthetase 1(SEPHS1)
ENSMMUG00000017610	FBXO31	Macaca mulatta	F-box protein 31(FBXO31)
ENSMMUG00000031593	LOC718212	Macaca mulatta	SAP domain-containing ribonucleoprotein pseudogene(LOC718212)
ENSMMUG00000000183	MLEC	Macaca mulatta	malectin(MLEC)
ENSMMUG00000009424	CLEC18A	Macaca mulatta	C-type lectin domain family 18, member A(CLEC18A)
ENSMMUG00000009425	LOC100428865	Macaca mulatta	actin, cytoplasmic 1-like(LOC100428865)
ENSMMUG00000030465	LOC712820	Macaca mulatta	ribosomal protein L6-like(LOC712820)
ENSMMUG00000005960	TMBIM6	Macaca mulatta	transmembrane BAX inhibitor motif containing 6(TMBIM6)
ENSMMUG00000030042	LOC702297	Macaca mulatta	60S ribosomal protein L23a pseudogene(LOC702297)
ENSMMUG00000020396	LGALS7B	Macaca mulatta	galectin 7B(LGALS7B)
ENSMMUG00000003957	RHOG	Macaca mulatta	ras homolog family member G(RHOG)
ENSMMUG00000009808	ENKD1	Macaca mulatta	enkurin domain containing 1(ENKD1)
ENSMMUG00000006414	ATAD1	Macaca mulatta	ATPase family, AAA domain containing 1(ATAD1)
ENSMMUG00000020392	SMS	Macaca mulatta	spermine synthase(SMS)
ENSMMUG00000009802	mettl2a	Macaca mulatta	methyltransferase like 2A(METTL2A)
ENSMMUG00000017209	C1D	Macaca mulatta	C1D nuclear receptor corepressor(C1D)
ENSMMUG00000014236	SLC35A5	Macaca mulatta	solute carrier family 35 member A5(SLC35A5)
ENSMMUG00000008553	RPL9	Macaca mulatta	ribosomal protein L9(RPL9)
ENSMMUG00000000560	dgcr6	Macaca mulatta	DiGeorge syndrome critical region gene 6(DGCR6)
ENSMMUG00000017867	LOC706181	Macaca mulatta	60S ribosomal protein L36a-like(LOC706181)
ENSMMUG00000003024	MAP3K7CL	Macaca mulatta	MAP3K7 C-terminal like(MAP3K7CL)
ENSMMUG00000018347	RPL22	Macaca mulatta	ribosomal protein L22(RPL22)
ENSMMUG00000000364	TOMM22	Macaca mulatta	translocase of outer mitochondrial membrane 22(TOMM22)
ENSMMUG00000015485	MARC1	Macaca mulatta	mitochondrial amidoxime reducing component 1(MARC1)
ENSMMUG00000017097	ACP1	Macaca mulatta	acid phosphatase 1, soluble(ACP1)
ENSMMUG00000021206	LOC704262	Macaca mulatta	motile sperm domain-containing protein 1(LOC704262)
ENSMMUG00000000156	PHB	Macaca mulatta	prohibitin(PHB)
ENSMMUG00000016349	SYT14	Macaca mulatta	synaptotagmin 14(SYT14)
ENSMMUG00000005997	CDC14B	Macaca mulatta	cell division cycle 14B(CDC14B)
ENSMMUG00000016343	MFSD14B	Macaca mulatta	major facilitator superfamily domain containing 14B(MFSD14B)
ENSMMUG00000030030	LOC715668	Macaca mulatta	40S ribosomal protein S24 pseudogene(LOC715668)
ENSMMUG00000000558	LOC694490	Macaca mulatta	60S ribosomal protein L6 pseudogene(LOC694490)
ENSMMUG00000017212	LOC714066	Macaca mulatta	sentrin-specific protease 1(LOC714066)
ENSMMUG00000011937	LOC693392	Macaca mulatta	heterogeneous nuclear ribonucleoprotein A3 pseudogene(LOC693392)
ENSMMUG00000001053	INO80D	Macaca mulatta	INO80 complex subunit D(INO80D)
ENSMMUG00000001054	EEF1B2	Macaca mulatta	eukaryotic translation elongation factor 1 beta 2(EEF1B2)
ENSMMUG00000010044	LOC698741	Macaca mulatta	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)-like(LOC698741)
ENSMMUG00000006015	LOC707194	Macaca mulatta	14-3-3 protein theta pseudogene(LOC707194)
ENSMMUG00000032091	LOC699344	Macaca mulatta	60S ribosomal protein L32 pseudogene(LOC699344)
ENSMMUG00000011751	LOC693837	Macaca mulatta	secretogranin V (7B2 protein) pseudogene(LOC693837)
ENSMMUG00000006018	SPAG5	Macaca mulatta	sperm associated antigen 5(SPAG5)
ENSMMUG00000000350	BIVM	Macaca mulatta	basic, immunoglobulin-like variable motif containing(BIVM)
ENSMMUG00000002309	LOC696165	Macaca mulatta	60S ribosomal protein L12 pseudogene(LOC696165)
ENSMMUG00000017497	FAM65B	Macaca mulatta	family with sequence similarity 65 member B(FAM65B)
ENSMMUG00000000167	RTEL1	Macaca mulatta	regulator of telomere elongation helicase 1(RTEL1)
ENSMMUG00000030448	LOC709769	Macaca mulatta	60S ribosomal protein L27a(LOC709769)
ENSMMUG00000010011	NDUFA2	Macaca mulatta	NADH:ubiquinone oxidoreductase subunit A2(NDUFA2)
ENSMMUG00000003289	ITGB3	Macaca mulatta	integrin subunit beta 3(ITGB3)
ENSMMUG00000010290	NUDC	Macaca mulatta	nuclear distribution C, dynein complex regulator(NUDC)
ENSMMUG00000001873	CNOT7	Macaca mulatta	CCR4-NOT transcription complex subunit 7(CNOT7)
ENSMMUG00000014214	LOC713619	Macaca mulatta	zinc finger protein 420(LOC713619)
ENSMMUG00000017035	S1PR4	Macaca mulatta	sphingosine-1-phosphate receptor 4(S1PR4)
ENSMMUG00000030408	LOC718712	Macaca mulatta	pentatricopeptide repeat-containing protein 1, mitochondrial(LOC718712)
ENSMMUG00000001027	ATP5B	Macaca mulatta	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide(ATP5B)
ENSMMUG00000009470	CLN8	Macaca mulatta	ceroid-lipofuscinosis, neuronal 8(CLN8)
ENSMMUG00000001028	SNRK	Macaca mulatta	SNF related kinase(SNRK)
ENSMMUG00000021467	ZNF155	Macaca mulatta	zinc finger protein 155(ZNF155)
ENSMMUG00000012397	LOC699631	Macaca mulatta	proteasome subunit alpha type-6(LOC699631)
ENSMMUG00000030210	LOC100425859	Macaca mulatta	cytochrome c oxidase subunit NDUFA4(LOC100425859)
ENSMMUG00000030217	LOC716800	Macaca mulatta	lactate dehydrogenase B-like(LOC716800)
ENSMMUG00000012127	BCAS4	Macaca mulatta	breast carcinoma amplified sequence 4(BCAS4)
ENSMMUG00000007936	MSRB1	Macaca mulatta	methionine sulfoxide reductase B1(MSRB1)
ENSMMUG00000003738	LOC701477	Macaca mulatta	40S ribosomal protein S24 pseudogene(LOC701477)
ENSMMUG00000030415	KDELR2	Macaca mulatta	KDEL endoplasmic reticulum protein retention receptor 2(KDELR2)
ENSMMUG00000017420	LOC709017	Macaca mulatta	putative elongation factor 1-alpha-like 3(LOC709017)
ENSMMUG00000006855	ACOT2	Macaca mulatta	acyl-CoA thioesterase 2(ACOT2)
ENSMMUG00000006283	LOC700872	Macaca mulatta	60S ribosomal protein L18a-like(LOC700872)
ENSMMUG00000003089	SDCCAG3	Macaca mulatta	serologically defined colon cancer antigen 3(SDCCAG3)
ENSMMUG00000003097	CATSPER2	Macaca mulatta	cation channel sperm associated 2(CATSPER2)
ENSMMUG00000020182	HLX	Macaca mulatta	H2.0 like homeobox(HLX)
ENSMMUG00000002722	LOC722784	Macaca mulatta	SH3 domain and tetratricopeptide repeat-containing protein 1-like(LOC722784)
ENSMMUG00000010020	C1H1orf52	Macaca mulatta	chromosome 1 open reading frame, human C1orf52(C1H1orf52)
ENSMMUG00000022316	CASC3	Macaca mulatta	cancer susceptibility candidate 3(CASC3)
ENSMMUG00000003092	BUB3	Macaca mulatta	BUB3, mitotic checkpoint protein(BUB3)
ENSMMUG00000002728	INO80B	Macaca mulatta	INO80 complex subunit B(INO80B)
ENSMMUG00000002726	MOGS	Macaca mulatta	mannosyl-oligosaccharide glucosidase(MOGS)
ENSMMUG00000016595	AXIN2	Macaca mulatta	axin 2(AXIN2)
ENSMMUG00000006680	LOC695588	Macaca mulatta	small integral membrane protein 20(LOC695588)
ENSMMUG00000010029	RPL3	Macaca mulatta	ribosomal protein L3(RPL3)
ENSMMUG00000022311	PLAC8	Macaca mulatta	placenta specific 8(PLAC8)
ENSMMUG00000003295	RPS4X	Macaca mulatta	ribosomal protein S4, X-linked(RPS4X)
ENSMMUG00000021441	AGL	Macaca mulatta	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)
ENSMMUG00000018107	NDOR1	Macaca mulatta	NADPH dependent diflavin oxidoreductase 1(NDOR1)
ENSMMUG00000021448	MDK	Macaca mulatta	midkine (neurite growth-promoting factor 2)(MDK)
ENSMMUG00000001858	HNRNPA3	Macaca mulatta	heterogeneous nuclear ribonucleoprotein A3(HNRNPA3)
ENSMMUG00000029892	LOC706647	Macaca mulatta	uncharacterized LOC706647(LOC706647)
ENSMMUG00000016383	DTX3L	Macaca mulatta	deltex E3 ubiquitin ligase 3L(DTX3L)
ENSMMUG00000020157	gbp6	Macaca mulatta	guanylate binding protein family member 6(GBP6)
ENSMMUG00000009849	MLYCD	Macaca mulatta	malonyl-CoA decarboxylase(MLYCD)
ENSMMUG00000011244	USP10	Macaca mulatta	ubiquitin specific peptidase 10(USP10)
ENSMMUG00000001005	DDX21	Macaca mulatta	DExD-box helicase 21(DDX21)
ENSMMUG00000007918	ZNHIT3	Macaca mulatta	zinc finger HIT-type containing 3(ZNHIT3)
ENSMMUG00000006876	TSPAN7	Macaca mulatta	tetraspanin 7(TSPAN7)
ENSMMUG00000017625	LOC100427740	Macaca mulatta	putative elongation factor 1-alpha-like 3(LOC100427740)
ENSMMUG00000018307	KLRC2	Macaca mulatta	killer cell lectin-like receptor subfamily C, member 2(KLRC2)
ENSMMUG00000030801	LOC721751	Macaca mulatta	60S ribosomal protein L23a pseudogene(LOC721751)
ENSMMUG00000006052	LOC704705	Macaca mulatta	DNA repair protein SWI5 homolog pseudogene(LOC704705)
ENSMMUG00000002704	LOC693442	Macaca mulatta	40S ribosomal protein S24 pseudogene(LOC693442)
ENSMMUG00000017834	SGMS2	Macaca mulatta	sphingomyelin synthase 2(SGMS2)
ENSMMUG00000000854	RPA3	Macaca mulatta	replication protein A3(RPA3)
ENSMMUG00000016578	LOC695197	Macaca mulatta	leukocyte immunoglobulin-like receptor subfamily A member 4(LOC695197)
ENSMMUG00000030203	LOC711432	Macaca mulatta	calponin-2(LOC711432)
ENSMMUG00000015777	HNRNPDL	Macaca mulatta	heterogeneous nuclear ribonucleoprotein D like(HNRNPDL)
ENSMMUG00000017838	PEA15	Macaca mulatta	phosphoprotein enriched in astrocytes 15(PEA15)
ENSMMUG00000003986	LOC707476	Macaca mulatta	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)-like(LOC707476)
ENSMMUG00000029880	LOC704012	Macaca mulatta	60S ribosomal protein L23a pseudogene(LOC704012)
ENSMMUG00000001017	LOC705904	Macaca mulatta	putative E3 ubiquitin-protein ligase makorin-4(LOC705904)
ENSMMUG00000003701	DONSON	Macaca mulatta	downstream neighbor of SON(DONSON)
ENSMMUG00000006463	LOC706087	Macaca mulatta	40S ribosomal protein S12(LOC706087)
ENSMMUG00000014009	LOC703057	Macaca mulatta	tropomyosin alpha-4 chain pseudogene(LOC703057)
ENSMMUG00000030621	TMEM185B	Macaca mulatta	transmembrane protein 185B(TMEM185B)
ENSMMUG00000000311	JSRP1	Macaca mulatta	junctional sarcoplasmic reticulum protein 1(JSRP1)
ENSMMUG00000003272	USP18	Macaca mulatta	ubiquitin specific peptidase 18(USP18)
ENSMMUG00000023311	ZNF669	Macaca mulatta	zinc finger protein 669(ZNF669)
ENSMMUG00000012859	LOC704637	Macaca mulatta	fumarylacetoacetate hydrolase domain-containing protein 2B-like(LOC704637)
ENSMMUG00000012550	GGCT	Macaca mulatta	gamma-glutamylcyclotransferase(GGCT)
ENSMMUG00000008106	SLC25A17	Macaca mulatta	solute carrier family 25 member 17(SLC25A17)
ENSMMUG00000002117	LOC100430718	Macaca mulatta	protein kish-A(LOC100430718)
ENSMMUG00000018935	LOC705621	Macaca mulatta	40S ribosomal protein S10 pseudogene(LOC705621)
ENSMMUG00000028895	RPS28	Macaca mulatta	ribosomal protein S28(RPS28)
ENSMMUG00000012167	SLC2A8	Macaca mulatta	solute carrier family 2 member 8(SLC2A8)
ENSMMUG00000000801	TMEM183A	Macaca mulatta	transmembrane protein 183A(TMEM183A)
ENSMMUG00000002390	PREB	Macaca mulatta	prolactin regulatory element binding(PREB)
ENSMMUG00000012164	TUBB4B	Macaca mulatta	tubulin beta 4B class IVb(TUBB4B)
ENSMMUG00000031780	NICN1	Macaca mulatta	nicolin 1(NICN1)
ENSMMUG00000015749	SQRDL	Macaca mulatta	sulfide quinone reductase-like (yeast)(SQRDL)
ENSMMUG00000022769	U2AF1	Macaca mulatta	U2 small nuclear RNA auxiliary factor 1(U2AF1)
ENSMMUG00000031385	LOC706108	Macaca mulatta	60S acidic ribosomal protein P1 pseudogene(LOC706108)
ENSMMUG00000013923	BABAM1	Macaca mulatta	BRISC and BRCA1 A complex member 1(BABAM1)
ENSMMUG00000013919	TREML1	Macaca mulatta	triggering receptor expressed on myeloid cells like 1(TREML1)
ENSMMUG00000015025	AIDA	Macaca mulatta	axin interactor, dorsalization associated(AIDA)
ENSMMUG00000015027	LOC100425072	Macaca mulatta	40S ribosomal protein S27-like(LOC100425072)
ENSMMUG00000015754	ACAD10	Macaca mulatta	acyl-CoA dehydrogenase family member 10(ACAD10)
ENSMMUG00000032031	LOC713714	Macaca mulatta	60S ribosomal protein L12 pseudogene(LOC713714)
ENSMMUG00000004387	RNF19A	Macaca mulatta	ring finger protein 19A, RBR E3 ubiquitin protein ligase(RNF19A)
ENSMMUG00000008306	PRKX	Macaca mulatta	protein kinase, X-linked(PRKX)
ENSMMUG00000018940	IGFBP2	Macaca mulatta	insulin like growth factor binding protein 2(IGFBP2)
ENSMMUG00000018141	STRADB	Macaca mulatta	STE20-related kinase adaptor beta(STRADB)
ENSMMUG00000006221	PRDX1	Macaca mulatta	peroxiredoxin 1(PRDX1)
ENSMMUG00000002374	pitpna	Macaca mulatta	phosphatidylinositol transfer protein alpha(PITPNA)
ENSMMUG00000006492	ARPC3	Macaca mulatta	actin related protein 2/3 complex subunit 3(ARPC3)
ENSMMUG00000019075	LOC718926	Macaca mulatta	putative prolyl-tRNA synthetase associated domain-containing protein 1(LOC718926)
ENSMMUG00000012874	PGK1	Macaca mulatta	phosphoglycerate kinase 1(PGK1)
ENSMMUG00000031372	SNRPE	Macaca mulatta	small nuclear ribonucleoprotein polypeptide E(SNRPE)
ENSMMUG00000018535	UXT	Macaca mulatta	ubiquitously expressed prefoldin like chaperone(UXT)
ENSMMUG00000031768	LOC713984	Macaca mulatta	60S ribosomal protein L17 pseudogene(LOC713984)
ENSMMUG00000018530	LOC706634	Macaca mulatta	glutathione S-transferase theta-2B(LOC706634)
ENSMMUG00000005509	TMEM50B	Macaca mulatta	transmembrane protein 50B(TMEM50B)
ENSMMUG00000031762	LOC718082	Macaca mulatta	lactate dehydrogenase B-like(LOC718082)
ENSMMUG00000012140	PTMA	Macaca mulatta	prothymosin, alpha(PTMA)
ENSMMUG00000018146	PTGR2	Macaca mulatta	prostaglandin reductase 2(PTGR2)
ENSMMUG00000032370	LOC705126	Macaca mulatta	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa-like(LOC705126)
ENSMMUG00000009685	KISS1R	Macaca mulatta	KISS1 receptor(KISS1R)
ENSMMUG00000015726	N6AMT1	Macaca mulatta	N-6 adenine-specific DNA methyltransferase 1 (putative)(N6AMT1)
ENSMMUG00000012880	DTD1	Macaca mulatta	D-tyrosyl-tRNA deacylase 1(DTD1)
ENSMMUG00000031908	AMY2B	Macaca mulatta	amylase, alpha 2B (pancreatic)(AMY2B)
ENSMMUG00000017297	LOC698508	Macaca mulatta	protein FAN(LOC698508)
ENSMMUG00000015004	TOX4	Macaca mulatta	TOX high mobility group box family member 4(TOX4)
ENSMMUG00000011293	tap2	Macaca mulatta	transporter 2, ATP binding cassette subfamily B member(TAP2)
ENSMMUG00000005515	ABCC5	Macaca mulatta	ATP binding cassette subfamily C member 5(ABCC5)
ENSMMUG00000015285	ATG12	Macaca mulatta	autophagy related 12(ATG12)
ENSMMUG00000015281	SDHAF2	Macaca mulatta	succinate dehydrogenase complex assembly factor 2(SDHAF2)
ENSMMUG00000002380	WDR81	Macaca mulatta	WD repeat domain 81(WDR81)
ENSMMUG00000032012	LOC708147	Macaca mulatta	40S ribosomal protein S25 pseudogene(LOC708147)
ENSMMUG00000031911	LOC700569	Macaca mulatta	keratin, type I cytoskeletal 18(LOC700569)
ENSMMUG00000028889	LOC711174	Macaca mulatta	60S ribosomal protein L21(LOC711174)
ENSMMUG00000031770	LOC717674	Macaca mulatta	60S ribosomal protein L32 pseudogene(LOC717674)
ENSMMUG00000017009	PRSS16	Macaca mulatta	protease, serine 16(PRSS16)
ENSMMUG00000006217	GTF2H2	Macaca mulatta	general transcription factor IIH subunit 2(GTF2H2)
ENSMMUG00000005511	SON	Macaca mulatta	SON DNA binding protein(SON)
ENSMMUG00000015071	PRPF18	Macaca mulatta	pre-mRNA processing factor 18(PRPF18)
ENSMMUG00000018557	SRPK1	Macaca mulatta	SRSF protein kinase 1(SRPK1)
ENSMMUG00000008145	S100A1	Macaca mulatta	S100 calcium binding protein A1(S100A1)
ENSMMUG00000015985	KDM4C	Macaca mulatta	lysine demethylase 4C(KDM4C)
ENSMMUG00000019095	AMDHD2	Macaca mulatta	amidohydrolase domain containing 2(AMDHD2)
ENSMMUG00000008532	SETSIP	Macaca mulatta	SET-like protein(SETSIP)
ENSMMUG00000002354	ZNF286A	Macaca mulatta	zinc finger protein 286A(ZNF286A)
ENSMMUG00000006207	GPS2	Macaca mulatta	G protein pathway suppressor 2(GPS2)
ENSMMUG00000002153	G3BP2	Macaca mulatta	G3BP stress granule assembly factor 2(G3BP2)
ENSMMUG00000018972	polr3g	Macaca mulatta	RNA polymerase III subunit G(POLR3G)
ENSMMUG00000018757	nhp2	Macaca mulatta	NHP2 ribonucleoprotein(NHP2)
ENSMMUG00000015270	RPS8	Macaca mulatta	ribosomal protein S8(RPS8)
ENSMMUG00000002922	CRTAM	Macaca mulatta	cytotoxic and regulatory T-cell molecule(CRTAM)
ENSMMUG00000005141	RPL7	Macaca mulatta	ribosomal protein L7(RPL7)
ENSMMUG00000005348	LTV1	Macaca mulatta	LTV1 ribosome biogenesis factor(LTV1)
ENSMMUG00000005143	RDH10	Macaca mulatta	retinol dehydrogenase 10 (all-trans)(RDH10)
ENSMMUG00000002920	LOC714801	Macaca mulatta	40S ribosomal protein S3a pseudogene(LOC714801)
ENSMMUG00000022515	ARHGAP44	Macaca mulatta	Rho GTPase activating protein 44(ARHGAP44)
ENSMMUG00000002926	MED24	Macaca mulatta	mediator complex subunit 24(MED24)
ENSMMUG00000015272	CCT6A	Macaca mulatta	chaperonin containing TCP1 subunit 6A(CCT6A)
ENSMMUG00000002369	ORAOV1	Macaca mulatta	oral cancer overexpressed 1(ORAOV1)
ENSMMUG00000015996	FKBP1A	Macaca mulatta	FK506 binding protein 1A(FKBP1A)
ENSMMUG00000008135	SGSM3	Macaca mulatta	small G protein signaling modulator 3(SGSM3)
ENSMMUG00000005732	LAP3	Macaca mulatta	leucine aminopeptidase 3(LAP3)
ENSMMUG00000011962	PTPRS	Macaca mulatta	protein tyrosine phosphatase, receptor type S(PTPRS)
ENSMMUG00000011961	FAM210A	Macaca mulatta	family with sequence similarity 210 member A(FAM210A)
ENSMMUG00000005924	COQ3	Macaca mulatta	coenzyme Q3, methyltransferase(COQ3)
ENSMMUG00000009671	LOC704690	Macaca mulatta	E3 ubiquitin-protein ligase TTC3(LOC704690)
ENSMMUG00000018352	ALKBH5	Macaca mulatta	alkB homolog 5, RNA demethylase(ALKBH5)
ENSMMUG00000032072	JUN	Macaca mulatta	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)
ENSMMUG00000005919	LOC714226	Macaca mulatta	nodal modulator 1(LOC714226)
ENSMMUG00000019912	LOC695047	Macaca mulatta	protein DDI1 homolog 2(LOC695047)
ENSMMUG00000015263	LOC709495	Macaca mulatta	ATP synthase subunit f, mitochondrial pseudogene(LOC709495)
ENSMMUG00000015711	MSS51	Macaca mulatta	MSS51 mitochondrial translational activator(MSS51)
